state,district,pincode_x,age_0_5,age_5_17,age_18_greater,pincode_y,bio_age_5_17,bio_age_17_,pincode,demo_age_5_17,demo_age_17_,total_enrol,total_updates,vulnerability_score
100000,100000,2200000.0,0.0,1.0,217.0,0.0,0.0,0.0,200000.0,0.0,2.0,218.0,2.0,0.0091324200913242
ANDAMAN & NICOBAR ISLANDS,ANDAMANS,49855581.0,70.0,5.0,0.0,265648586.0,343.0,1672.0,233651769.0,7.0,743.0,75.0,2765.0,36.38157894736842
ANDAMAN & NICOBAR ISLANDS,NICOBARS,744301.0,1.0,0.0,0.0,1488602.0,1.0,1.0,2977204.0,0.0,4.0,1.0,6.0,3.0
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,26044471.0,38.0,0.0,0.0,141384962.0,61.0,306.0,145105747.0,6.0,299.0,38.0,672.0,17.23076923076923
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,28283452.0,64.0,11.0,0.0,149604709.0,992.0,819.0,95270652.0,58.0,729.0,75.0,2598.0,34.18421052631579
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,73676202.0,128.0,4.0,0.0,288007156.0,3780.0,2603.0,251541077.0,112.0,1897.0,132.0,8392.0,63.097744360902254
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,113107158.0,178.0,12.0,0.0,528334512.0,6629.0,3491.0,554378667.0,434.0,2957.0,190.0,13511.0,70.73821989528795
ANDHRA PRADESH,ADILABAD,438690754.0,1137.0,281.0,1.0,1654382149.0,12208.0,39830.0,1809187682.0,2596.0,26695.0,1419.0,81329.0,57.27394366197183
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,392767400.0,1105.0,116.0,34.0,994280282.0,8438.0,10169.0,1147593548.0,1569.0,11302.0,1255.0,31478.0,25.062101910828027
ANDHRA PRADESH,ANAKAPALLI,235252713.0,523.0,12.0,8.0,781681166.0,3542.0,3181.0,1413632418.0,1772.0,11688.0,543.0,20183.0,37.10110294117647
ANDHRA PRADESH,ANANTAPUR,1324897727.0,4089.0,326.0,0.0,3483200723.0,35834.0,57731.0,3863085344.0,8956.0,59789.0,4415.0,162310.0,36.75498188405797
ANDHRA PRADESH,ANANTHAPUR,732576465.0,1843.0,151.0,0.0,2945046392.0,64082.0,20050.0,3134183282.0,9092.0,20934.0,1994.0,114158.0,57.22205513784461
ANDHRA PRADESH,ANANTHAPURAMU,1014056229.0,3018.0,159.0,10.0,3042460497.0,90533.0,19069.0,3155933635.0,11812.0,44132.0,3187.0,165546.0,51.92785445420326
ANDHRA PRADESH,ANNAMAYYA,362228863.0,868.0,48.0,105.0,909455776.0,5790.0,3922.0,1651000591.0,5789.0,27845.0,1021.0,43346.0,42.41291585127202
ANDHRA PRADESH,BAPATLA,216393948.0,421.0,55.0,16.0,856785188.0,3899.0,2083.0,1528985474.0,2008.0,11506.0,492.0,19496.0,39.545638945233264
ANDHRA PRADESH,CHITTOOR,1870531034.0,7497.0,659.0,43.0,3868222181.0,168727.0,82711.0,4406163561.0,28657.0,140979.0,8199.0,421074.0,51.35048780487805
ANDHRA PRADESH,CUDDAPAH,1461508808.0,5519.0,413.0,2.0,3159562090.0,115127.0,55669.0,3510634998.0,11074.0,72593.0,5934.0,254463.0,42.87497893850042
ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,299155151.0,618.0,30.0,17.0,1049983443.0,4352.0,2954.0,1909592498.0,1752.0,12404.0,665.0,21462.0,32.22522522522522
ANDHRA PRADESH,EAST GODAVARI,2264883422.0,7161.0,507.0,10.0,5665626704.0,204904.0,96946.0,6486533159.0,19090.0,136935.0,7678.0,457875.0,59.62690454486261
ANDHRA PRADESH,ELURU,277599615.0,568.0,45.0,16.0,999563466.0,4288.0,3942.0,1988910221.0,2346.0,15238.0,629.0,25814.0,40.974603174603175
ANDHRA PRADESH,GUNTUR,2165102958.0,8769.0,925.0,35.0,4287378899.0,187665.0,104029.0,4753789412.0,22026.0,155195.0,9729.0,468915.0,48.19270298047277
